hs,carrier,energyLadder,colour,label
biom,biomod,1,"#69923A",Biomass boiler
dihe,heat,1,"#ff6b07",District heating
ehp1,elec,1,"#009FDA",Heat pump
gabo,gases,1,"#c00000",Gas boiler
reel,elec,1,"#ffc000",Resistive electric
libo,liquids,1,"#7030a0",Liquids boiler
sobo,coal,1,"#8E908F",Solids boiler
